,id,city,area,community,part,source
251,1191,dubai,business bay,damac maison prive,damac maison prive tower b,https://uae.dubizzle.com/
71,1011,dubai,jumeirah village circle (jvc),jvc district 13,dar al jawhara residence,https://uae.dubizzle.com/
776,1716,dubai,dubai marina,dec towers,dec tower 1,https://uae.dubizzle.com/
777,1717,dubai,dubai marina,dec towers,dec tower 2,https://uae.dubizzle.com/
778,1718,dubai,dubai marina,dec towers,dec tower 3,https://uae.dubizzle.com/
351,1291,dubai,dubai marina,marina promenade,delphine,https://www.bayut.com/
763,1703,abu dhabi,al reef,al reef villas,desert style,https://www.bayut.com/
216,1156,dubai,jumeirah village circle (jvc),jvc district 17,dezire residences,https://www.bayut.com/
1226,2166,dubai,palm jumeirah,tiara residences,diamond,https://uae.dubizzle.com/
900,1840,dubai,jumeirah village circle (jvc),jvc district 14,diamond views,https://uae.dubizzle.com/
897,1837,dubai,jumeirah village circle (jvc),jvc district 14,diamond views i,https://uae.dubizzle.com/
122,1062,dubai,jumeirah village circle (jvc),jvc district 11,diamond views ii,https://uae.dubizzle.com/
110,1050,dubai,jumeirah village circle (jvc),jvc district 11,diamond views iii,https://uae.dubizzle.com/
114,1054,dubai,jumeirah village circle (jvc),jvc district 11,diamond views iv,https://uae.dubizzle.com/
202,1142,dubai,jumeirah village circle (jvc),jvc district 16,district 16j,https://uae.dubizzle.com/
1455,2395,dubai,jumeirah village triangle (jvt),jvt district 1,district 1a,https://uae.dubizzle.com/
1457,2397,dubai,jumeirah village triangle (jvt),jvt district 1,district 1b,https://uae.dubizzle.com/
1458,2398,dubai,jumeirah village triangle (jvt),jvt district 1,district 1c,https://uae.dubizzle.com/
1450,2390,dubai,jumeirah village triangle (jvt),jvt district 2,district 2f,https://uae.dubizzle.com/
1449,2389,dubai,jumeirah village triangle (jvt),jvt district 2,district 2g,https://uae.dubizzle.com/
1429,2369,dubai,jumeirah village triangle (jvt),jvt district 3,district 3b,https://uae.dubizzle.com/
1443,2383,dubai,jumeirah village triangle (jvt),jvt district 4,district 4b,https://uae.dubizzle.com/
1444,2384,dubai,jumeirah village triangle (jvt),jvt district 4,district 4e,https://uae.dubizzle.com/
1461,2401,dubai,jumeirah village triangle (jvt),jvt district 5,district 5f,https://uae.dubizzle.com/
1435,2375,dubai,jumeirah village triangle (jvt),jvt district 7,district 7b,https://uae.dubizzle.com/
1470,2410,dubai,jumeirah village triangle (jvt),jvt district 8,district 8j,https://uae.dubizzle.com/
1468,2408,dubai,jumeirah village triangle (jvt),jvt district 8,district 8n,https://uae.dubizzle.com/
1469,2409,dubai,jumeirah village triangle (jvt),jvt district 8,district 8o,https://uae.dubizzle.com/
1471,2411,dubai,jumeirah village triangle (jvt),jvt district 8,district 8v,https://uae.dubizzle.com/
1466,2406,dubai,jumeirah village triangle (jvt),jvt district 9,district 9a,https://uae.dubizzle.com/
1464,2404,dubai,jumeirah village triangle (jvt),jvt district 9,district 9f,https://uae.dubizzle.com/
1465,2405,dubai,jumeirah village triangle (jvt),jvt district 9,district 9g,https://uae.dubizzle.com/
1467,2407,dubai,jumeirah village triangle (jvt),jvt district 9,district 9j,https://uae.dubizzle.com/
1462,2402,dubai,jumeirah village triangle (jvt),jvt district 9,district 9k,https://uae.dubizzle.com/
1463,2403,dubai,jumeirah village triangle (jvt),jvt district 9,district 9l,https://uae.dubizzle.com/
593,1533,dubai,mohammed bin rashid city,district one,district one mansions,https://www.bayut.com/
590,1530,dubai,mohammed bin rashid city,district one,district one villas,https://www.bayut.com/
902,1842,dubai,jumeirah village circle (jvc),jvc district 14,divine homes,https://uae.dubizzle.com/
857,1797,dubai,jumeirah village circle (jvc),jvc district 14,dms building,https://uae.dubizzle.com/
360,1300,dubai,palm jumeirah,the crescent,dream palm residence,https://www.bayut.com/
557,1497,dubai,al furjan,al furjan west,dreamz by danube,https://www.bayut.com/
439,1379,dubai,dubai creek harbour,dubai creek residences,dubai creek residence tower 1 north,https://www.bayut.com/
438,1378,dubai,dubai creek harbour,dubai creek residences,dubai creek residence tower 1 south,https://www.bayut.com/
437,1377,dubai,dubai creek harbour,dubai creek residences,dubai creek residence tower 2 north,https://www.bayut.com/
440,1380,dubai,dubai creek harbour,dubai creek residences,dubai creek residence tower 2 south,https://www.bayut.com/
443,1383,dubai,dubai creek harbour,dubai creek residences,dubai creek residence tower 3 north,https://www.bayut.com/
442,1382,dubai,dubai creek harbour,dubai creek residences,dubai creek residence tower 3 south,https://www.bayut.com/
221,1161,dubai,jumeirah village circle (jvc),jvc district 17,dune residency,https://www.bayut.com/
189,1129,dubai,jumeirah village circle (jvc),jvc district 18,dusit princess rijas,https://www.bayut.com/
173,1113,dubai,jumeirah village circle (jvc),jvc district 15,eaton place,https://uae.dubizzle.com/
1441,2381,dubai,jumeirah village triangle (jvt),jvt district 4,elbrus tower,https://uae.dubizzle.com/
870,1810,dubai,jumeirah village circle (jvc),jvc district 14,electra,https://www.bayut.com/
190,1130,dubai,jumeirah village circle (jvc),jvc district 18,elegance by chaimaa holding,https://www.bayut.com/
54,893,dubai,jumeirah village circle (jvc),jvc district 14,eleganz by danube,https://uae.dubizzle.com/
6,845,dubai,jumeirah village circle (jvc),jvc district 10,elitz 2 by danube,https://uae.dubizzle.com/
91,1031,dubai,jumeirah village circle (jvc),jvc district 13,elitz 3 by danube,https://www.bayut.com/
103,1043,dubai,jumeirah village circle (jvc),jvc district 11,elitz by danube,https://uae.dubizzle.com/
486,1426,dubai,dubai hills estate,ellington house,ellington house 1,https://www.bayut.com/
483,1423,dubai,dubai hills estate,ellington house,ellington house 2,https://www.bayut.com/
485,1425,dubai,dubai hills estate,ellington house,ellington house 3,https://www.bayut.com/
484,1424,dubai,dubai hills estate,ellington house,ellington house 4,https://www.bayut.com/
927,1867,dubai,jumeirah village circle (jvc),jvc district 12,elysee heights,https://uae.dubizzle.com/
1223,2163,dubai,palm jumeirah,tiara residences,emerald,https://uae.dubizzle.com/
191,1131,dubai,jumeirah village circle (jvc),jvc district 18,emerald tower,https://www.bayut.com/
1456,2396,dubai,jumeirah village triangle (jvt),jvt district 1,emerald vision tower,https://uae.dubizzle.com/
84,1024,dubai,jumeirah village circle (jvc),jvc district 12,emirates gardens,https://www.bayut.com/
51,890,dubai,jumeirah village circle (jvc),jvc district 14,emirates gardens 2,https://uae.dubizzle.com/
215,1155,dubai,jumeirah village circle (jvc),jvc district 17,empire residence,https://www.bayut.com/
25,864,dubai,jumeirah village circle (jvc),jvc district 10,empire suites,https://uae.dubizzle.com/
552,1492,dubai,al furjan,al furjan west,equiti home,https://www.bayut.com/
1376,2316,dubai,dubai hills estate,executive residences,executive residences 1,https://uae.dubizzle.com/
1375,2315,dubai,dubai hills estate,executive residences,executive residences 2,https://uae.dubizzle.com/
254,1194,dubai,business bay,executive towers,executive tower b (east heights 4),https://uae.dubizzle.com/
257,1197,dubai,business bay,executive towers,executive tower c,https://uae.dubizzle.com/
263,1203,dubai,business bay,executive towers,executive tower e,https://uae.dubizzle.com/
260,1200,dubai,business bay,executive towers,executive tower f,https://uae.dubizzle.com/
255,1195,dubai,business bay,executive towers,executive tower g,https://uae.dubizzle.com/
261,1201,dubai,business bay,executive towers,executive tower h,https://uae.dubizzle.com/
258,1198,dubai,business bay,executive towers,executive tower j,https://uae.dubizzle.com/
259,1199,dubai,business bay,executive towers,executive tower k,https://uae.dubizzle.com/
262,1202,dubai,business bay,executive towers,executive tower l,https://uae.dubizzle.com/
256,1196,dubai,business bay,executive towers,executive tower m (west heights 1),https://uae.dubizzle.com/
217,1157,dubai,jumeirah village circle (jvc),jvc district 17,exotica by al marina,https://www.bayut.com/
730,1670,dubai,dubai marina,park island,fairfield tower,https://uae.dubizzle.com/
1543,2483,ajman,al rashidiya,al rashidiya 2,falcon towers,https://www.bayut.com/
1436,2376,dubai,jumeirah village triangle (jvt),jvt district 4,fashionz by danube,https://uae.dubizzle.com/
724,1664,abu dhabi,al shamkha,al reeman 2,fay al reeman 1,https://www.bayut.com/
723,1663,abu dhabi,al shamkha,al reeman 2,fay al reeman 2,https://www.bayut.com/
987,1927,ras al khaimah,al marjan island,bab al bahr residences,fayrouz building,https://uae.dubizzle.com/
963,1903,ras al khaimah,al marjan island,pacific,fiji,https://uae.dubizzle.com/
46,885,dubai,jumeirah village circle (jvc),jvc district 14,five jumeirah village,https://uae.dubizzle.com/
322,1262,dubai,downtown dubai,forte,forte 1,https://www.bayut.com/
323,1263,dubai,downtown dubai,forte,forte 2,https://www.bayut.com/
113,1053,dubai,jumeirah village circle (jvc),jvc district 11,fortunato,https://uae.dubizzle.com/
120,1060,dubai,jumeirah village circle (jvc),jvc district 11,g24 tower,https://uae.dubizzle.com/
382,1322,dubai,palm jumeirah,garden homes palm jumeirah,garden homes frond a,https://www.bayut.com/
381,1321,dubai,palm jumeirah,garden homes palm jumeirah,garden homes frond b,https://www.bayut.com/
380,1320,dubai,palm jumeirah,garden homes palm jumeirah,garden homes frond c,https://www.bayut.com/
377,1317,dubai,palm jumeirah,garden homes palm jumeirah,garden homes frond d,https://www.bayut.com/
383,1323,dubai,palm jumeirah,garden homes palm jumeirah,garden homes frond e,https://www.bayut.com/
387,1327,dubai,palm jumeirah,garden homes palm jumeirah,garden homes frond g,https://www.bayut.com/
386,1326,dubai,palm jumeirah,garden homes palm jumeirah,garden homes frond k,https://www.bayut.com/
379,1319,dubai,palm jumeirah,garden homes palm jumeirah,garden homes frond l,https://www.bayut.com/
378,1318,dubai,palm jumeirah,garden homes palm jumeirah,garden homes frond m,https://www.bayut.com/
385,1325,dubai,palm jumeirah,garden homes palm jumeirah,garden homes frond n,https://www.bayut.com/
376,1316,dubai,palm jumeirah,garden homes palm jumeirah,garden homes frond o,https://www.bayut.com/
384,1324,dubai,palm jumeirah,garden homes palm jumeirah,garden homes frond p,https://www.bayut.com/
938,1878,dubai,jumeirah village circle (jvc),jvc district 12,gardenia residency,https://uae.dubizzle.com/
28,867,dubai,jumeirah village circle (jvc),jvc district 10,gateway by premier choice,https://uae.dubizzle.com/
969,1909,ras al khaimah,mina al arab,hayat island,gateway ii residences,https://uae.dubizzle.com/
1398,2338,dubai,al furjan,glamz by danube,glamz residence tower 1,https://uae.dubizzle.com/
1397,2337,dubai,al furjan,glamz by danube,glamz residence tower 2,https://uae.dubizzle.com/
1337,2277,dubai,jumeirah lake towers (jlt),jlt cluster e,global lake view,https://uae.dubizzle.com/
1079,2019,ajman,emirates city,goldcrest dream towers,goldcrest dreams tower a,https://uae.dubizzle.com/
1080,2020,ajman,emirates city,goldcrest dream towers,goldcrest dreams tower b,https://uae.dubizzle.com/
1081,2021,ajman,emirates city,goldcrest dream towers,goldcrest dreams tower c,https://uae.dubizzle.com/
1345,2285,dubai,jumeirah lake towers (jlt),jlt cluster c,goldcrest executive,https://uae.dubizzle.com/
550,1490,dubai,jumeirah lake towers (jlt),jlt cluster v,goldcrest views 1,https://www.bayut.com/
1327,2267,dubai,jumeirah lake towers (jlt),jlt cluster j,goldcrest views 2,https://uae.dubizzle.com/
400,1340,dubai,palm jumeirah,golden mile,golden mile 1,https://www.bayut.com/
407,1347,dubai,palm jumeirah,golden mile,golden mile 10,https://www.bayut.com/
402,1342,dubai,palm jumeirah,golden mile,golden mile 2,https://www.bayut.com/
408,1348,dubai,palm jumeirah,golden mile,golden mile 3,https://www.bayut.com/
401,1341,dubai,palm jumeirah,golden mile,golden mile 4,https://www.bayut.com/
406,1346,dubai,palm jumeirah,golden mile,golden mile 5,https://www.bayut.com/
404,1344,dubai,palm jumeirah,golden mile,golden mile 6,https://www.bayut.com/
403,1343,dubai,palm jumeirah,golden mile,golden mile 7,https://www.bayut.com/
405,1345,dubai,palm jumeirah,golden mile,golden mile 8,https://www.bayut.com/
409,1349,dubai,palm jumeirah,golden mile,golden mile 9,https://www.bayut.com/
1430,2370,dubai,jumeirah village triangle (jvt),jvt district 3,golden wood views,https://uae.dubizzle.com/
893,1833,dubai,jumeirah village circle (jvc),jvc district 14,golden wood views 5,https://uae.dubizzle.com/
36,875,dubai,jumeirah village circle (jvc),jvc district 10,goldenwoods villas,https://uae.dubizzle.com/
490,1430,dubai,dubai hills estate,golf place,golf place i,https://www.bayut.com/
489,1429,dubai,dubai hills estate,golf place,golf place ii,https://www.bayut.com/
549,1489,dubai,jumeirah lake towers (jlt),jlt cluster z,golf views seven city,https://www.bayut.com/
1603,2543,ajman,al zorah,the fairways,golf villas,https://www.bayut.com/
782,1722,abu dhabi,zayed city,bloom living,granada,https://www.bayut.com/
600,1540,dubai,dubai harbour,emaar beachfront,grand bleu towers,https://www.bayut.com/
192,1132,dubai,jumeirah village circle (jvc),jvc district 18,grand heights,https://www.bayut.com/
321,1261,dubai,downtown dubai,opera district,grande,https://www.bayut.com/
829,1769,dubai,arjan,green diamond 1,green diamond 1 tower a,https://uae.dubizzle.com/
828,1768,dubai,arjan,green diamond 1,green diamond 1 tower b,https://uae.dubizzle.com/
1329,2269,dubai,jumeirah lake towers (jlt),jlt cluster s,green lakes 1,https://uae.dubizzle.com/
1330,2270,dubai,jumeirah lake towers (jlt),jlt cluster s,green lakes 2,https://uae.dubizzle.com/
1331,2271,dubai,jumeirah lake towers (jlt),jlt cluster s,green lakes 3,https://uae.dubizzle.com/
1442,2382,dubai,jumeirah village triangle (jvt),jvt district 4,green park,https://uae.dubizzle.com/
471,1411,dubai,dubai hills estate,greenside residence,greenside residence tower a,https://www.bayut.com/
472,1412,dubai,dubai hills estate,greenside residence,greenside residence tower b,https://www.bayut.com/
473,1413,dubai,dubai hills estate,greenside residence,greenside residence tower c,https://www.bayut.com/
586,1526,dubai,mohammed bin rashid city,district 11,grenland residence,https://www.bayut.com/
1018,1958,ajman,al rashidiya,al rashidiya 1,gulfa towers,https://uae.dubizzle.com/
100,1040,dubai,jumeirah village circle (jvc),jvc district 11,hadley heights,https://uae.dubizzle.com/
167,1107,dubai,jumeirah village circle (jvc),jvc district 15,hameni residence,https://uae.dubizzle.com/
882,1822,dubai,jumeirah village circle (jvc),jvc district 14,hamilton house,https://uae.dubizzle.com/
19,858,dubai,jumeirah village circle (jvc),jvc district 10,hanover square,https://uae.dubizzle.com/
430,1370,dubai,dubai creek harbour,harbour gate,harbour gate podium,https://www.bayut.com/
428,1368,dubai,dubai creek harbour,harbour gate,harbour gate tower 1,https://www.bayut.com/
429,1369,dubai,dubai creek harbour,harbour gate,harbour gate tower 2,https://www.bayut.com/
448,1388,dubai,dubai creek harbour,harbour views,harbour views 1,https://www.bayut.com/
447,1387,dubai,dubai creek harbour,harbour views,harbour views 2,https://www.bayut.com/
449,1389,dubai,dubai creek harbour,harbour views,harbour views podium,https://www.bayut.com/
896,1836,dubai,jumeirah village circle (jvc),jvc district 14,harrington house,https://uae.dubizzle.com/
39,878,dubai,jumeirah village circle (jvc),jvc district 10,haven villas,https://uae.dubizzle.com/
561,1501,dubai,al furjan,al furjan west,he villas,https://www.bayut.com/
873,1813,dubai,jumeirah village circle (jvc),jvc district 14,helvetia residences,https://www.bayut.com/
678,1618,abu dhabi,al reem island,city of lights,horizon towers,https://www.bayut.com/
57,896,dubai,jumeirah village circle (jvc),jvc district 14,hyati avenue,https://uae.dubizzle.com/
887,1827,dubai,jumeirah village circle (jvc),jvc district 14,hyati residences,https://uae.dubizzle.com/
674,1614,abu dhabi,al reem island,city of lights,hydra avenue towers,https://www.bayut.com/
517,1457,dubai,jumeirah lake towers (jlt),jlt cluster l,icon tower 2,https://www.bayut.com/
1077,2017,sharjah,aljada,il teatro residences,il teatro residences 1,https://uae.dubizzle.com/
1078,2018,sharjah,aljada,il teatro residences,il teatro residences 2,https://uae.dubizzle.com/
1107,2047,sharjah,al khan,maryam island,indigo beach residence,https://uae.dubizzle.com/
548,1488,dubai,jumeirah lake towers (jlt),jlt cluster d,indigo tower,https://www.bayut.com/
65,1005,dubai,jumeirah village circle (jvc),jvc district 13,indigo ville 3,https://uae.dubizzle.com/
899,1839,dubai,jumeirah village circle (jvc),jvc district 14,indigo ville 5,https://uae.dubizzle.com/
179,1119,dubai,jumeirah village circle (jvc),jvc district 15,indigo ville 8,https://uae.dubizzle.com/
1289,2229,dubai,dubai creek harbour,island park,island park 1,https://uae.dubizzle.com/
1288,2228,dubai,dubai creek harbour,island park,island park 2,https://uae.dubizzle.com/
295,1235,dubai,business bay,j one,j one tower a,https://uae.dubizzle.com/
296,1236,dubai,business bay,j one,j one tower b,https://uae.dubizzle.com/
1173,2113,dubai,palm jumeirah,shoreline apartments,jash falqa,https://uae.dubizzle.com/
372,1312,dubai,palm jumeirah,shoreline apartments,jash hamad,https://www.bayut.com/
1111,2051,sharjah,al khan,maryam island,jawaher residence,https://uae.dubizzle.com/
937,1877,dubai,jumeirah village circle (jvc),jvc district 12,joudi residences villa townhouses,https://uae.dubizzle.com/
127,1067,dubai,jumeirah village circle (jvc),jvc district 11,joya verde residences,https://uae.dubizzle.com/
1343,2283,dubai,jumeirah lake towers (jlt),jlt cluster x (jumeirah bay towers),jumeirah bay x1,https://uae.dubizzle.com/
1344,2284,dubai,jumeirah lake towers (jlt),jlt cluster x (jumeirah bay towers),jumeirah bay x2,https://uae.dubizzle.com/
345,1285,dubai,dubai marina,marina gate,jumeirah living marina gate,https://www.bayut.com/
358,1298,dubai,palm jumeirah,the crescent,jumeirah zabeel saray,https://www.bayut.com/
363,1303,dubai,palm jumeirah,the crescent,jumeirah zabeel saray the palm hotel,https://www.bayut.com/
986,1926,ras al khaimah,al marjan island,bab al bahr residences,kahraman building,https://uae.dubizzle.com/
332,1272,dubai,downtown dubai,old town,kamoon,https://www.bayut.com/
583,1523,dubai,mohammed bin rashid city,district 11,karl lagerfeld villas,https://www.bayut.com/
1094,2034,sharjah,tilal city,masaar,kaya,https://uae.dubizzle.com/
357,1297,dubai,palm jumeirah,the crescent,kempinski palm residence,https://www.bayut.com/
1505,2445,dubai,sobha hartland,kensington waters,kensington waters tower a,https://uae.dubizzle.com/
1506,2446,dubai,sobha hartland,kensington waters,kensington waters tower b,https://uae.dubizzle.com/
596,1536,dubai,mohammed bin rashid city,district 7,keturah reserve,https://www.bayut.com/
64,1004,dubai,jumeirah village circle (jvc),jvc district 13,knightsbridge court,https://uae.dubizzle.com/
73,1013,dubai,jumeirah village circle (jvc),jvc district 13,la belle vue,https://uae.dubizzle.com/
32,871,dubai,jumeirah village circle (jvc),jvc district 10,la perla homes 10,https://uae.dubizzle.com/
930,1870,dubai,jumeirah village circle (jvc),jvc district 12,la perla homes 12,https://uae.dubizzle.com/
1452,2392,dubai,jumeirah village triangle (jvt),jvt district 1,la residence,https://uae.dubizzle.com/
4,843,dubai,jumeirah village circle (jvc),jvc district 10,la residenza,https://uae.dubizzle.com/
26,865,dubai,jumeirah village circle (jvc),jvc district 10,la riviera apartments,https://uae.dubizzle.com/
20,859,dubai,jumeirah village circle (jvc),jvc district 10,la riviera azure,https://uae.dubizzle.com/
42,881,dubai,jumeirah village circle (jvc),jvc district 10,la riviera estate block d,https://uae.dubizzle.com/
11,850,dubai,jumeirah village circle (jvc),jvc district 10,la riviera estates,https://uae.dubizzle.com/
592,1532,dubai,mohammed bin rashid city,district one,lagoon views,https://www.bayut.com/
1514,2454,dubai,damac lagoons,lagoon views,lagoon views 1 tower a,https://uae.dubizzle.com/
1515,2455,dubai,damac lagoons,lagoon views,lagoon views 1 tower b,https://uae.dubizzle.com/
1511,2451,dubai,damac lagoons,lagoon views,lagoon views 2 tower a,https://uae.dubizzle.com/
1513,2453,dubai,damac lagoons,lagoon views,lagoon views 2 tower b,https://uae.dubizzle.com/
1512,2452,dubai,damac lagoons,lagoon views,lagoon views 2 tower c,https://uae.dubizzle.com/
545,1485,dubai,jumeirah lake towers (jlt),jlt cluster a,laguna movenpick tower,https://www.bayut.com/
544,1484,dubai,jumeirah lake towers (jlt),jlt cluster a,laguna tower,https://www.bayut.com/
547,1487,dubai,jumeirah lake towers (jlt),jlt cluster d,lake city tower,https://www.bayut.com/
546,1486,dubai,jumeirah lake towers (jlt),jlt cluster d,lake terrace,https://www.bayut.com/
1591,2531,ajman,emirates city,lake view tower,lake view tower 2,https://www.bayut.com/
543,1483,dubai,jumeirah lake towers (jlt),jlt cluster a,lakeside residence,https://www.bayut.com/
931,1871,dubai,jumeirah village circle (jvc),jvc district 12,las casas,https://uae.dubizzle.com/
156,1096,dubai,jumeirah village circle (jvc),jvc district 15,laya mansion,https://www.bayut.com/
21,860,dubai,jumeirah village circle (jvc),jvc district 10,le grand chateau,https://uae.dubizzle.com/
935,1875,dubai,jumeirah village circle (jvc),jvc district 12,le parc homes ii,https://uae.dubizzle.com/
620,1560,abu dhabi,yas island,yas acres,lea,https://www.bayut.com/
40,879,dubai,jumeirah village circle (jvc),jvc district 10,les maisonettes,https://uae.dubizzle.com/
92,1032,dubai,jumeirah village circle (jvc),jvc district 13,levanto by oro24,https://www.bayut.com/
86,1026,dubai,jumeirah village circle (jvc),jvc district 12,lilac park,https://www.bayut.com/
1446,2386,dubai,jumeirah village triangle (jvt),jvt district 2,lilium tower,https://uae.dubizzle.com/
418,1358,dubai,arjan,lincoln park,lincoln park a,https://www.bayut.com/
415,1355,dubai,arjan,lincoln park,lincoln park b,https://www.bayut.com/
414,1354,dubai,arjan,lincoln park,lincoln park northside,https://www.bayut.com/
417,1357,dubai,arjan,lincoln park,lincoln park sheffield,https://www.bayut.com/
416,1356,dubai,arjan,lincoln park,lincoln park westside,https://www.bayut.com/
898,1838,dubai,jumeirah village circle (jvc),jvc district 14,living garden,https://uae.dubizzle.com/
890,1830,dubai,jumeirah village circle (jvc),jvc district 14,living garden ii,https://uae.dubizzle.com/
49,888,dubai,jumeirah village circle (jvc),jvc district 14,loci residences,https://uae.dubizzle.com/
172,1112,dubai,jumeirah village circle (jvc),jvc district 15,lotus park,https://uae.dubizzle.com/
702,1642,abu dhabi,saadiyat island,saadiyat cultural district,louvre abu dhabi residences,https://www.bayut.com/
954,1894,dubai,jumeirah village circle (jvc),jvc district 13,lucky 1 residences,https://uae.dubizzle.com/
77,1017,dubai,jumeirah village circle (jvc),jvc district 12,lucky oasis residence,https://www.bayut.com/
868,1808,dubai,jumeirah village circle (jvc),jvc district 10,lucky royale residence,https://www.bayut.com/
5,844,dubai,jumeirah village circle (jvc),jvc district 10,luma 22,https://uae.dubizzle.com/
45,884,dubai,jumeirah village circle (jvc),jvc district 14,luma park views,https://uae.dubizzle.com/
50,889,dubai,jumeirah village circle (jvc),jvc district 14,luma21,https://uae.dubizzle.com/
47,886,dubai,jumeirah village circle (jvc),jvc district 14,lumina vista residences,https://uae.dubizzle.com/
886,1826,dubai,jumeirah village circle (jvc),jvc district 14,luxor by imtiaz,https://uae.dubizzle.com/
1341,2281,dubai,jumeirah lake towers (jlt),jlt cluster o,madina tower,https://uae.dubizzle.com/
1333,2273,dubai,jumeirah lake towers (jlt),jlt cluster r,mag 214 tower,https://uae.dubizzle.com/
664,1604,abu dhabi,al reem island,marina square,mag 5 residence (b2 tower),https://www.bayut.com/
595,1535,dubai,mohammed bin rashid city,district 7,mag city,https://www.bayut.com/
1421,2361,dubai,mohammed bin rashid city,district 7,mag park,https://uae.dubizzle.com/
107,1047,dubai,jumeirah village circle (jvc),jvc district 11,maimoon gardens,https://uae.dubizzle.com/
79,1019,dubai,jumeirah village circle (jvc),jvc district 12,maison elysee,https://www.bayut.com/
684,1624,abu dhabi,al reem island,reem hills,majlis,https://www.bayut.com/
683,1623,abu dhabi,al reem island,reem hills,makany,https://www.bayut.com/
703,1643,abu dhabi,saadiyat island,saadiyat cultural district,mamsha al saadiyat,https://www.bayut.com/
659,1599,abu dhabi,al reem island,shams abu dhabi,mangrove place,https://www.bayut.com/
1235,2175,dubai,palm jumeirah,w residences,mansion 1,https://uae.dubizzle.com/
1238,2178,dubai,palm jumeirah,w residences,mansion 3,https://uae.dubizzle.com/
1236,2176,dubai,palm jumeirah,w residences,mansion 4,https://uae.dubizzle.com/
1234,2174,dubai,palm jumeirah,w residences,mansion 7,https://uae.dubizzle.com/
1237,2177,dubai,palm jumeirah,w residences,mansion 8,https://uae.dubizzle.com/
686,1626,abu dhabi,al reem island,reem hills,manzel,https://www.bayut.com/
464,1404,dubai,dubai hills estate,maple,maple 1,https://www.bayut.com/
463,1403,dubai,dubai hills estate,maple,maple 2,https://www.bayut.com/
465,1405,dubai,dubai hills estate,maple,maple 3,https://www.bayut.com/
967,1907,ras al khaimah,mina al arab,hayat island,marbella,https://uae.dubizzle.com/
1547,2487,ras al khaimah,mina al arab,hayat island,marbella villas,https://www.bayut.com/
978,1918,ras al khaimah,al hamra village,al hamra village marina apartments,marina apartment a,https://uae.dubizzle.com/
980,1920,ras al khaimah,al hamra village,al hamra village marina apartments,marina apartment b,https://uae.dubizzle.com/
976,1916,ras al khaimah,al hamra village,al hamra village marina apartments,marina apartment c,https://uae.dubizzle.com/
977,1917,ras al khaimah,al hamra village,al hamra village marina apartments,marina apartment d,https://uae.dubizzle.com/
979,1919,ras al khaimah,al hamra village,al hamra village marina apartments,marina apartment e,https://uae.dubizzle.com/
989,1929,ras al khaimah,al hamra village,al hamra village marina apartments,marina apartment f,https://uae.dubizzle.com/
988,1928,ras al khaimah,al hamra village,al hamra village marina apartments,marina apartment g,https://uae.dubizzle.com/
676,1616,abu dhabi,al reem island,city of lights,marina bay,https://www.bayut.com/
697,1637,abu dhabi,al reem island,najmat abu dhabi,marina bay by damac,https://www.bayut.com/
667,1607,abu dhabi,al reem island,marina square,marina blue tower,https://www.bayut.com/
344,1284,dubai,dubai marina,marina gate,marina gate 1,https://www.bayut.com/
343,1283,dubai,dubai marina,marina gate,marina gate 2,https://www.bayut.com/
662,1602,abu dhabi,al reem island,marina square,marina heights,https://www.bayut.com/
790,1730,dubai,dubai marina,marina quays,marina quays east,https://uae.dubizzle.com/
789,1729,dubai,dubai marina,marina quays,marina quays north,https://uae.dubizzle.com/
788,1728,dubai,dubai marina,marina quays,marina quays west,https://uae.dubizzle.com/
810,1750,dubai,dubai marina,marina residence,marina residence a,https://uae.dubizzle.com/
809,1749,dubai,dubai marina,marina residence,marina residence b,https://uae.dubizzle.com/
395,1335,dubai,palm jumeirah,marina residences,marina residences 1,https://www.bayut.com/
394,1334,dubai,palm jumeirah,marina residences,marina residences 2,https://www.bayut.com/
396,1336,dubai,palm jumeirah,marina residences,marina residences 3,https://www.bayut.com/
393,1333,dubai,palm jumeirah,marina residences,marina residences 4,https://www.bayut.com/
397,1337,dubai,palm jumeirah,marina residences,marina residences 5,https://www.bayut.com/
392,1332,dubai,palm jumeirah,marina residences,marina residences 6,https://www.bayut.com/
1070,2010,abu dhabi,al reem island,city of lights,marina spirit,https://uae.dubizzle.com/
804,1744,dubai,dubai marina,marina view tower,marina view tower a,https://uae.dubizzle.com/
805,1745,dubai,dubai marina,marina view tower,marina view tower b,https://uae.dubizzle.com/
599,1539,dubai,dubai harbour,emaar beachfront,marina vista,https://www.bayut.com/
792,1732,dubai,dubai marina,marina wharf,marina wharf i,https://uae.dubizzle.com/
791,1731,dubai,dubai marina,marina wharf,marina wharf ii,https://uae.dubizzle.com/
808,1748,dubai,dubai marina,trident marinascape,marinascape marina homes,https://uae.dubizzle.com/
213,1153,dubai,jumeirah village circle (jvc),jvc district 17,marriott residences jvc,https://www.bayut.com/
165,1105,dubai,jumeirah village circle (jvc),jvc district 15,marwa heights,https://uae.dubizzle.com/
69,1009,dubai,jumeirah village circle (jvc),jvc district 13,marwa homes 2,https://uae.dubizzle.com/
894,1834,dubai,jumeirah village circle (jvc),jvc district 14,marwa homes 3,https://uae.dubizzle.com/
31,870,dubai,jumeirah village circle (jvc),jvc district 10,marwa homes 4,https://uae.dubizzle.com/
1106,2046,sharjah,al khan,maryam island,maryam gate residences,https://uae.dubizzle.com/
